,make,model
426,ferrari,gtc4lusso
427,ferrari,portofino
428,ferrari,portofino m
429,ferrari,roma
430,ferrari,sf90
431,fiat,124 spider
432,fiat,500
433,fiat,500 abarth
434,fiat,500c
435,fiat,500c abarth
436,fiat,500e
437,fiat,500l
438,fiat,500x
439,fisker,karma
440,fisker,ocean
441,ford,aerostar cargo
442,ford,aerostar passenger
443,ford,aspire
444,ford,bronco
445,ford,bronco sport
446,ford,c-max energi
447,ford,c-max hybrid
448,ford,club wagon
449,ford,contour
450,ford,crown victoria
451,ford,e-transit 350 cargo van
452,ford,e150 cargo
453,ford,e150 passenger
454,ford,e150 super duty cargo
455,ford,e150 super duty passenger
456,ford,e250 cargo
457,ford,e250 super duty cargo
458,ford,e350 super duty cargo
459,ford,e350 super duty passenger
460,ford,econoline e150 cargo
461,ford,econoline e150 passenger
462,ford,econoline e250 cargo
463,ford,econoline e350 cargo
464,ford,econoline e350 super duty cargo
465,ford,econoline e350 super duty passenger
466,ford,ecosport
467,ford,edge
468,ford,escape
469,ford,escape plug-in hybrid
470,ford,escort
471,ford,excursion
472,ford,expedition
473,ford,expedition el
474,ford,expedition max
475,ford,explorer
476,ford,explorer sport
477,ford,explorer sport trac
478,ford,f150 (heritage) regular cab
479,ford,f150 (heritage) super cab
480,ford,f150 lightning
481,ford,f150 regular cab
482,ford,f150 super cab
483,ford,f150 supercrew cab
484,ford,f250 crew cab
485,ford,f250 regular cab
486,ford,f250 super cab
487,ford,f250 super duty crew cab
488,ford,f250 super duty regular cab
489,ford,f250 super duty super cab
490,ford,f350 crew cab
491,ford,f350 regular cab
492,ford,f350 super cab
493,ford,f350 super duty crew cab
494,ford,f350 super duty regular cab
495,ford,f350 super duty super cab
496,ford,f450 super duty crew cab
497,ford,f450 super duty regular cab
498,ford,festiva
499,ford,fiesta
500,ford,five hundred
501,ford,flex
502,ford,focus
503,ford,focus st
504,ford,freestar cargo
505,ford,freestar passenger
506,ford,freestyle
507,ford,fusion
508,ford,fusion energi
509,ford,fusion plug-in hybrid
510,ford,gt
511,ford,maverick
512,ford,mustang
513,ford,mustang mach-e
514,ford,probe
515,ford,ranger regular cab
516,ford,ranger super cab
517,ford,ranger supercab
518,ford,ranger supercrew
519,ford,taurus
520,ford,taurus x
521,ford,tempo
522,ford,thunderbird
523,ford,transit 150 cargo van
524,ford,transit 150 crew van
525,ford,transit 150 passenger van
526,ford,transit 150 van
527,ford,transit 150 wagon
528,ford,transit 250 cargo van
529,ford,transit 250 crew van
530,ford,transit 250 van
531,ford,transit 350 cargo van
532,ford,transit 350 crew van
533,ford,transit 350 hd cargo van
